Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.4804199306695699,0.5687953161163664,0.3829518705958536,14.483870401095388,0.13594080024267488,0.12027526792091423,0.17817751956513653,10.29363394519446,0.059817266464233396,0.006220140740592885
0.1,DP-KMeans,0.4852021615956759,0.5697415549488628,0.4511836814399416,6.737031013118691,0.16352197030308252,0.16255711053048175,0.2144527959411956,1.7698955040491162,0.00860435962677002,0.0007308315330806343
0.5,DP-GRAMS-C,0.5409294759949141,0.6505738367213219,0.6147368969530882,0.8373454222947544,0.08877780385105026,0.08175303249759325,0.10217979599369678,0.5771752161252459,0.05890367031097412,0.00021554641209937697
0.5,DP-KMeans,0.4566236753511859,0.5201560353428417,0.327383679012691,6.528380658054388,0.21952685534498337,0.22452590056381064,0.23603653249995968,1.9723575754146314,0.008422172069549561,0.0005243896205792953
1,DP-GRAMS-C,0.5357583464728657,0.643253302125568,0.624281781820985,0.37896205308127157,0.07633328622837257,0.07621915219771491,0.09909941995123699,0.22877884539509052,0.0590401291847229,0.00033286889069045623
1,DP-KMeans,0.5019893179696486,0.5887969695327985,0.3754919831057481,5.534359772084466,0.1423112497109813,0.15803643328721942,0.18579207765712957,1.7102165319899143,0.00807814598083496,0.0007556658780453885
2,DP-GRAMS-C,0.5427208154753351,0.6490635032092531,0.6191006633699315,0.34447988635626314,0.06109727080523464,0.0678390081873741,0.09518913901731317,0.1918021620676052,0.05920479297637939,0.0002225396742659382
2,DP-KMeans,0.5318923519355562,0.6182623515429918,0.46806517411294735,4.01179705872862,0.10899313551129823,0.10246549591482479,0.13924591884128723,1.7064893186643644,0.007855463027954101,0.0007322220978517392
5,DP-GRAMS-C,0.545154163859747,0.6486635086515296,0.6205993760806188,0.33179091689436824,0.05657704505842501,0.061134747853441106,0.09113793797433431,0.20436740545851412,0.05957120656967163,0.001258667332163221
5,DP-KMeans,0.5862859667752013,0.6775181827053869,0.5164440996979545,2.227098015744368,0.09543275669717752,0.07021691448388012,0.10797793334302222,1.5390316843554623,0.0076324701309204105,0.0008273059454015098
10,DP-GRAMS-C,0.5641429443038791,0.6636160378923313,0.6268033016078134,0.38255916955198954,0.07351488944412284,0.057033181071320764,0.07830922738357322,0.31986203616555364,0.059301984310150144,0.00018250735849332692
10,DP-KMeans,0.6525806302252597,0.7078866502543049,0.533785021223778,0.9474643370243886,0.09291981683782383,0.06034640313244897,0.08212198597897681,1.1542481499745678,0.007557225227355957,0.0008507406098023237
