n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,PMS_runtime,DP_runtime_mean,DP_runtime_std
100,0.1,0.5693080106303323,0.1099015695695277,0.0,0.00423745799344033,0.007928868698945735,0.002893691359830407
100,0.2,0.21862649809497844,0.03019904019862703,0.0,0.00423745799344033,0.0067261311458423735,0.0028385554017834446
100,0.5,0.043305981564169496,0.006392059004064977,0.0,0.00423745799344033,0.00716216260479996,0.002429662143403425
100,1.0,0.012567437324685862,0.002347054738560484,0.0,0.00423745799344033,0.00631153119757073,0.0030429875628308492
500,0.1,0.09156120194730269,0.007685363752231909,0.0,0.0238081669958774,0.0892634812509641,0.02433852381152009
500,0.2,0.03684317443541762,0.004229568005087762,0.0,0.0238081669958774,0.06963257064780919,0.017835235165907345
500,0.5,0.0063680659396790325,0.0007297773293283839,0.0,0.0238081669958774,0.06679510819813003,0.024569410686982384
500,1.0,0.001493260010527729,0.00020155561004526885,0.0,0.0238081669958774,0.06489762280252762,0.011317085502709942
1000,0.1,0.038811220308807834,0.004465735395906956,0.0,0.06277399999089539,0.21096709579869638,0.05082976422760819
1000,0.2,0.012400704805568949,0.0013229997354794476,0.0,0.06277399999089539,0.19475293535215316,0.04082870639862877
1000,0.5,0.0021082991173139434,0.00016637467873994156,0.0,0.06277399999089539,0.17627549574972362,0.03277955708381395
1000,1.0,0.0005475758080961109,4.1283894465900576e-05,0.0,0.06277399999089539,0.20132578344928334,0.059497114930746484
2000,0.1,0.017983313642000197,0.0020593159223610217,0.0,0.20210608400520869,0.7310893145011506,0.16938672322447298
2000,0.2,0.006378572939560047,0.0007346253063195092,0.0,0.20210608400520869,0.7571953208520427,0.22058555955874565
2000,0.5,0.0007744632188009875,5.007858849882345e-05,0.0,0.20210608400520869,0.6952182105043903,0.19622038326787958
2000,1.0,0.00023368949599000794,1.6099195839408356e-05,0.0,0.20210608400520869,0.6846796897501918,0.16715426353302268
