n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,DP_runtime_mean,DP_runtime_std
100,0.1,0.5937228560389473,0.09605589158255505,0.0,0.007582064642338082,0.005173493437191346
100,0.2,0.19912809701732231,0.028438518990388684,0.0,0.013519360340433195,0.013193135588188312
100,0.5,0.044262436469631995,0.007461915871815658,0.0,0.020995920849964024,0.01643115960150381
100,1.0,0.00920213404895889,0.0018290505061104606,0.0,0.018585014500422402,0.02290983955827871
500,0.1,0.12269165707925105,0.019812165601655742,0.0,0.17673509375599677,0.039066661618550186
500,0.2,0.021252666828058105,0.0030699674037500393,0.0,0.17164498544298112,0.07180733479521209
500,0.5,0.003883191548592372,0.00031582764027402377,0.0,0.17329213339835406,0.03360611725006064
500,1.0,0.0013672650516128927,0.000157255158401613,0.0,0.21711507290019655,0.06796824799237822
1000,0.1,0.045971467351821046,0.005429000639833124,0.0,0.6569262436532881,0.12499753881935885
1000,0.2,0.010642348401248202,0.0008795811332155788,0.0,0.6632275062002009,0.09830578142687223
1000,0.5,0.0019774199076718246,0.00020129864230375582,0.0,0.6071208979439688,0.05763841122356542
1000,1.0,0.0004938364190528729,0.00010742679250459659,0.0,0.5556547832937213,0.0562368139560638
2000,0.1,0.010851347568200638,0.0010856149668468731,0.0,1.640315100052976,0.2925812002673091
2000,0.2,0.0028302141943864247,0.0002674871692868696,0.0,1.7102458374953131,0.29889982964392536
2000,0.5,0.0003261585524537852,3.599835446828181e-05,0.0,2.106814995763125,0.3943012059944611
2000,1.0,7.319188771745447e-05,1.048569053456718e-05,0.0,1.7401928146515275,0.341658612122398
